Name,URL,Description
spectacle-code-slide,https://github.com/jamiebuilds/spectacle-code-slide,:metal: Present code with style
holder,https://github.com/imsky/holder,:city_sunrise: Client-side image placeholders.
moon,https://github.com/kbrsh/moon,🌙 The minimal & fast library for functional user interfaces
will_paginate,https://github.com/mislav/will_paginate,Pagination library for Rails and other Ruby applications
jswiki,https://github.com/bebraw/jswiki,JavaScript wiki. Focuses mainly on JS/HTML5/WebGL related tech.
satellizer,https://github.com/sahat/satellizer,Token-based AngularJS Authentication
smoothState.js,https://github.com/miguel-perez/smoothState.js,Unobtrusive page transitions with jQuery.
baseAdapter,https://github.com/hongyangAndroid/baseAdapter,"Android 万能的Adapter for ListView,RecyclerView,GridView等，支持多种Item类型的情况。"
slate,https://github.com/jigish/slate,A window management application (replacement for Divvy/SizeUp/ShiftIt)
iOSBlogCN,https://github.com/tangqiaoboy/iOSBlogCN,中文 iOS/Mac 开发博客列表
Toast,https://github.com/scalessec/Toast,An Objective-C category that adds toast notifications to the UIView object class.
960-Grid-System,https://github.com/nathansmith/960-Grid-System,The 960 Grid System is an effort to streamline web development workflow.
twitter-ruby,https://github.com/sferik/twitter-ruby,A Ruby interface to the Twitter API.
is.js,https://github.com/arasatasaygin/is.js,Micro check library
BGABanner-Android,https://github.com/bingoogolapple/BGABanner-Android,引导界面滑动导航 + 大于等于1页时无限轮播 + 各种切换动画轮播效果
Content-generator-sketch-plugin,https://github.com/timuric/Content-generator-sketch-plugin,"Sketch app plugin for generating dummy data such as avatars, names, photos, geo data etc"
EpicEditor,https://github.com/OscarGodson/EpicEditor,"EpicEditor is an embeddable JavaScript Markdown editor with split fullscreen editing, live previewing, automatic draft saving, offline support, and more. For developers, it offers a robust API, can be easily themed, and allows you to swap out the bundled Markdown parser with anything you throw at it."
RippleEffect,https://github.com/traex/RippleEffect,Implementation of Ripple effect from Material Design for Android API 9+
es6,https://github.com/bevacqua/es6,:star2: ES6 Overview in 350 Bullet Points
react-native-router-flux,https://github.com/aksonov/react-native-router-flux,The first declarative React Native router
nodebeginner.org,https://github.com/manuelkiessling/nodebeginner.org,A comprehensive Node.js tutorial for beginners
PushSharp,https://github.com/Redth/PushSharp,"A server-side library for sending Push Notifications to iOS (iPhone/iPad APNS), Android (C2DM and GCM - Google Cloud Message), Windows Phone, Windows 8, Amazon, Blackberry, and (soon) FirefoxOS devices!"
js-git,https://github.com/creationix/js-git,A JavaScript implementation of Git.
kss,https://github.com/kneath/kss,A methodology for documenting CSS and generating styleguides.
MaterialSearchView,https://github.com/MiguelCatalan/MaterialSearchView,Cute library to implement SearchView in a Material Design Approach
Timber,https://github.com/naman14/Timber,Material Design Music Player
restangular,https://github.com/mgonto/restangular,AngularJS service to handle Rest API Restful Resources properly and easily
LTNavigationBar,https://github.com/ltebean/LTNavigationBar,UINavigationBar Category which allows you to change its appearance dynamically
tota11y,https://github.com/jdan/tota11y,an accessibility (a11y) visualization toolkit
oboe.js,https://github.com/jimhigson/oboe.js,A streaming approach to JSON. Oboe.js speeds up web applications by providing parsed objects before the response completes.
SimplifyReader,https://github.com/chentao0707/SimplifyReader,一款基于Google Material Design设计开发的Android客户端，包括新闻简读，图片浏览，视频爽看 ，音乐轻听以及二维码扫描五个子模块。项目采取的是MVP架构开发，由于还是摸索阶段，可能不是很规范。但基本上应该是这么个套路，至少我个人认为是这样的~恩，就是这样的！
ramjet,https://github.com/Rich-Harris/ramjet,Morph DOM elements from one state to another with smooth animations and transitions
react-hot-boilerplate,https://github.com/gaearon/react-hot-boilerplate,Minimal live-editing example for React
FloatingActionButton,https://github.com/makovkastar/FloatingActionButton,[DEPRECATED] Android floating action button
SlickGrid,https://github.com/mleibman/SlickGrid,A lightning fast JavaScript grid/spreadsheet
